A,mass_chain_yield_percent
66,0.0
67,0.0
68,1e-06
69,2e-06
70,4e-06
71,8e-06
72,2.6e-05
73,0.000102
74,0.000339
75,0.001067
76,0.003097
77,0.00796
78,0.020965
79,0.044729
80,0.128823
81,0.203666
82,0.324491
83,0.536203
84,1.00192
85,1.31862
86,1.96497
87,2.56012
88,3.57475
89,4.73274
90,5.78194
91,5.82783
92,6.02125
93,6.34629
94,6.4722
95,6.50287
96,6.33924
97,5.9968
98,5.78989
99,6.10873
100,6.29233
101,5.17255
102,4.29847
103,3.03093
104,1.88069
105,0.96416
106,0.401548
107,0.146192
108,0.054125
109,0.031221
110,0.025443
111,0.017431
112,0.013042
113,0.014204
114,0.011832
115,0.012583
116,0.013248
117,0.012761
118,0.011345
119,0.012873
120,0.012608
121,0.013046
122,0.015483
123,0.015657
124,0.026775
125,0.03402
126,0.058514
127,0.156958
128,0.348814
129,0.543348
130,1.81028
131,2.89069
132,4.3131
133,6.69909
134,7.87208
135,6.53899
136,6.31272
137,6.18851
138,6.76758
139,6.41343
140,6.21969
141,5.84699
142,5.84879
143,5.95576
144,5.49957
145,3.93337
146,2.9969
147,2.24673
148,1.67354
149,1.08163
150,0.653249
151,0.418767
152,0.266913
153,0.158279
154,0.074434
155,0.032136
156,0.014853
157,0.006151
158,0.003286
159,0.001009
160,0.000319
161,8.5e-05
162,1.6e-05
163,6e-06
164,2e-06
165,1e-06
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
