A,Z_most_probable
70,28
71,28
72,29
73,29
74,30
75,30
76,30
77,30
78,31
79,31
80,32
81,32
82,32
83,33
84,34
85,34
86,34
87,35
88,35
89,35
90,36
91,36
92,37
93,38
94,38
95,38
96,38
97,39
98,39
99,40
100,40
101,40
102,40
103,41
104,42
105,42
106,42
107,42
108,42
109,42
110,42
111,43
112,44
113,44
114,44
115,44
116,45
117,46
118,46
119,46
120,47
121,48
122,48
123,48
124,48
125,49
126,50
127,50
128,50
129,50
130,50
131,50
132,50
133,51
134,52
135,52
136,52
137,52
138,53
139,53
140,54
141,54
142,54
143,54
144,55
145,56
146,56
147,57
148,57
149,57
150,58
151,58
152,58
153,59
154,60
155,60
156,60
157,61
158,61
159,62
160,62
161,62
162,62
163,63
164,63
165,64
166,64
